bhattacharyya,chebyshev,cosine_dist,euclidian,frame,hamming,kl_div,manhattan,mu_augment,mu_original,sigma_augment,sigma_original,ssim_dist,step,file
-17.543361377716064,199.476,0.0008110716342925519,26684.27918359375,501.0,453185.098,4948058.869,15143159.984,74.90110646057128,74.90226368713378,33.18799922943115,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-1.2/seed_2/2024-05-21_16-25-50/augment.csv
-17.54329217529297,199.75,0.0012008621692656996,26721.64269921875,501.0,467563.46,4960726.093,15195269.324,74.90244743347168,74.90226368713378,33.18706055450439,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-1.5/seed_2/2024-05-21_16-26-52/augment.csv
-17.54335891342163,199.726,0.0010859149694442264,26712.5273828125,501.0,463576.74,4953167.76,15181788.094,74.90924736022949,74.90226368713378,33.19053472900391,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-1.4/seed_2/2024-05-21_16-26-31/augment.csv
-17.54332313156128,199.574,0.0009498460292815654,26698.41903125,501.0,459149.108,4954010.405,15164117.292,74.90001971435547,74.90226368713378,33.187219207763675,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-1.3/seed_2/2024-05-21_16-26-11/augment.csv
-17.54173349380493,221.136,0.010365545272827098,27647.98710546875,501.0,545565.942,5265262.994,15946637.552,74.96448574829101,74.90226368713378,33.20286828613281,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-7/seed_2/2024-05-21_16-14-26/augment.csv
-17.543642238616943,199.154,0.0,26577.30837890625,501.0,382984.648,4900666.871,14913715.48,74.90226368713378,74.90226368713378,33.18839166259766,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0/seed_2/2024-05-21_16-11-57/augment.csv
-17.5412649269104,221.276,0.013728582143783523,28015.9969140625,501.0,553108.468,5374028.85,16208637.944,75.01258708190917,74.90226368713378,33.2069686126709,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-9/seed_2/2024-05-21_16-15-08/augment.csv
-17.541585651397703,221.102,0.012041959643363907,27828.78197265625,501.0,549746.032,5310235.791,16073618.434,74.99861988830567,74.90226368713378,33.23723712921142,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-8/seed_2/2024-05-21_16-14-47/augment.csv
-17.54347679901123,199.154,0.0005478925704955553,26653.82243359375,501.0,437095.1,4932083.255,15092765.462,74.90778602600098,74.90226368713378,33.18889451599121,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-1/seed_2/2024-05-21_16-12-18/augment.csv
-17.542024559020994,212.794,0.008445207715034438,27447.125140625,501.0,538704.092,5204965.106,15809599.366,74.94713250732421,74.90226368713378,33.19914203643799,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-6/seed_2/2024-05-21_16-14-04/augment.csv
-17.543642238616943,199.154,0.0,26577.30837890625,501.0,382984.648,4900666.871,14913715.48,74.90226368713378,74.90226368713378,33.18839166259766,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0.1/seed_2/2024-05-21_16-18-02/augment.csv
