drqv2_aug_pixels-True-rotate-1.5,drqv2_aug_pixels-True-rotate-8,drqv2_aug_pixels-True-rotate-1,drqv2_aug_pixels-True-rotate-6,drqv2_aug_pixels-True-rotate-0.1,drqv2_aug_pixels-True-rotate-0.6,drqv2_aug_pixels-True-rotate-2.5,drqv2_aug_pixels-True-rotate-0.8,drqv2_aug_pixels-True-rotate-0.9,drqv2_aug_pixels-True-rotate-0.7,drqv2_aug_pixels-True-rotate-11,drqv2_aug_pixels-True-rotate-1.8,drqv2_aug_pixels-True-rotate-1.6,drqv2_aug_pixels-True-rotate-1.1,drqv2_aug_pixels-True-rotate-1.7,drqv2_aug_pixels-True-rotate-1.9,drqv2_aug_pixels-True-rotate-3,drqv2_aug_pixels-True-rotate-4,drqv2_aug_pixels-True-rotate-5,drqv2_aug_pixels-True-rotate-2,drqv2_aug_pixels-True-rotate-14,drqv2_aug_pixels-True-rotate-13,drqv2_aug_pixels-True-rotate-0.5,drqv2_aug_pixels-True-rotate-0.2,drqv2_aug_pixels-True-rotate-2.1,drqv2_aug_pixels-True-rotate-15,drqv2_aug_pixels-True-rotate-0.3,drqv2_aug_pixels-True-rotate-0.4
770.7,11.2,795.9,11.6,613.2,845.3,840.9,843.5,823.2,851.2,4.4,587.7,730.3,730.3,18.6,806.2,93.4,0.0,81.6,570.2,5.7,0.0,845.0,825.6,50.4,0.0,832.0,838.8
709.1,0.0,779.3,7.4,352.9,774.6,742.7,784.9,794.5,798.7,0.0,759.8,659.6,654.9,6.0,735.2,0.0,0.0,98.9,716.2,0.0,0.0,788.1,780.2,50.0,0.0,773.8,783.7
626.7,1.7,756.6,15.1,367.7,789.1,786.1,790.9,772.1,815.0,0.0,722.6,715.0,735.9,11.3,750.0,90.2,0.3,79.2,728.4,10.0,0.0,791.1,783.2,48.1,0.0,760.4,763.0
742.6,2.1,745.0,6.9,441.6,797.9,735.9,799.3,789.9,826.6,0.0,773.2,739.6,787.7,5.4,658.7,0.0,0.0,84.6,755.5,0.0,8.5,777.5,794.2,48.0,0.0,786.5,788.8
725.3,0.0,761.2,0.0,269.6,758.1,760.0,764.4,753.5,774.2,0.0,636.0,702.4,765.1,6.1,723.0,92.2,0.0,90.6,672.0,0.0,0.0,752.0,763.5,45.6,0.0,755.6,760.3
789.5,24.8,843.1,17.2,634.9,851.9,858.0,856.8,843.3,869.1,16.1,777.5,801.9,850.9,25.7,826.4,282.1,3.3,100.3,802.3,11.7,7.8,853.0,851.0,54.6,2.7,845.7,841.5
732.4,2.9,837.7,6.6,532.4,828.3,820.5,826.8,813.8,844.7,17.5,773.4,807.3,838.0,18.9,759.1,290.0,5.4,105.5,759.8,14.8,2.3,821.3,832.2,47.7,5.7,812.6,822.2
768.7,19.4,810.9,13.9,521.2,784.8,805.6,828.9,805.5,840.1,5.3,767.1,772.4,823.5,5.9,716.8,86.3,0.1,90.7,734.0,13.7,1.8,823.0,827.5,51.8,0.2,803.9,814.0
760.3,0.0,802.8,10.3,523.2,820.8,812.8,825.1,805.9,828.8,0.0,721.3,791.8,816.6,16.0,762.4,261.3,37.1,121.9,746.0,0.0,0.0,824.9,824.5,48.2,1.4,806.7,805.0
785.3,0.0,799.4,8.8,661.8,817.8,818.9,825.3,813.8,835.7,0.0,782.5,793.0,807.9,11.1,769.7,0.0,0.0,80.1,791.9,0.0,0.0,810.2,811.3,49.3,0.0,803.2,800.3
767.3,4.6,826.5,19.1,678.3,837.0,807.2,839.6,814.7,853.3,6.6,814.3,772.2,833.3,17.9,798.2,187.4,6.2,93.4,753.1,3.4,5.5,834.3,832.6,52.7,5.2,813.8,825.5
788.3,29.6,797.9,5.1,577.3,820.5,807.7,813.9,793.5,826.2,0.7,801.7,762.1,793.2,12.9,769.2,191.0,33.7,117.4,812.1,3.3,19.5,805.8,811.2,49.6,1.9,820.7,812.2
732.8,0.0,798.6,12.6,662.4,805.3,800.1,819.0,805.2,835.1,0.0,805.4,807.0,799.4,11.4,662.0,91.1,0.0,101.5,690.4,0.0,0.0,809.2,809.4,49.0,0.0,805.1,806.2
802.1,19.2,811.2,7.2,598.9,824.9,828.8,842.7,814.9,845.7,8.7,772.1,812.9,838.1,22.5,778.2,0.0,3.2,130.2,773.7,0.0,0.0,831.7,835.0,51.1,0.0,806.4,816.8
719.6,33.8,764.6,1.5,633.2,777.3,769.0,780.1,785.2,796.9,8.2,706.5,740.6,791.8,5.6,739.2,0.0,0.0,94.5,674.2,8.9,0.0,785.6,792.7,45.4,0.0,776.6,776.1
885.4,88.0,873.6,23.2,872.4,900.2,896.1,898.2,877.7,912.9,1.5,876.2,884.8,884.5,35.0,802.2,181.3,5.2,74.9,798.9,15.6,8.4,899.1,888.2,56.8,5.2,875.9,877.3
661.7,0.0,745.1,0.0,627.1,754.3,732.5,756.8,748.0,780.0,0.0,725.8,731.6,750.5,0.0,519.1,0.0,0.0,91.1,703.1,0.0,0.0,754.7,749.8,42.8,0.0,748.2,748.6
777.8,0.0,803.3,0.0,769.2,809.9,803.9,805.7,802.3,829.2,0.0,721.7,742.7,795.5,0.0,550.2,0.0,0.0,90.2,737.0,0.0,0.0,795.9,785.6,48.1,0.0,773.2,784.7
762.7,31.2,793.3,12.4,726.1,815.4,792.8,812.7,803.4,817.7,13.0,764.9,785.5,812.0,17.7,741.0,101.0,12.1,134.9,780.5,7.3,2.5,805.5,802.5,51.3,2.9,808.9,807.2
819.7,2.2,838.3,17.0,792.1,872.8,860.3,865.6,839.8,867.9,0.0,834.2,843.3,832.0,18.8,826.4,99.5,1.1,131.0,796.0,0.0,0.9,867.9,860.5,51.6,0.0,840.7,847.6
772.4,2.6,802.8,2.2,795.0,815.9,798.4,819.2,798.1,828.1,8.9,762.7,759.9,805.2,6.1,761.6,5.1,2.1,94.5,643.3,1.9,14.2,821.2,817.9,51.1,2.0,809.5,808.0
727.4,3.8,766.3,18.6,770.5,779.2,782.9,806.2,785.8,815.3,10.2,734.6,776.5,801.0,16.4,621.4,0.0,3.2,95.9,740.8,0.0,0.0,797.0,798.5,48.3,0.0,773.8,770.9
706.5,0.0,784.0,10.9,760.5,796.7,684.0,783.6,786.9,813.1,0.0,778.4,731.4,781.0,0.0,727.3,0.0,0.0,69.4,759.5,0.0,0.0,788.8,787.4,48.1,0.0,787.3,788.4
