drqv2_pad_2_pixels-True,drqv2_pad_7_pixels-True,drqv2_pad_4_pixels-True,drqv2_pad_8_pixels-True,drqv2_pad_1_pixels-True,drqv2_pad_6_pixels-True,drqv2_pad_3_pixels-True,drqv2_pixels-True,drqv2_pad_10_pixels-True,drqv2_pad_9_pixels-True,drqv2_pad_5_pixels-True
870.7,818.8,865.7,534.5,848.3,877.7,874.9,830.2,835.4,184.7,873.5
830.1,781.8,827.6,255.9,811.6,829.5,826.7,770.5,812.2,93.3,826.8
796.1,758.8,793.0,663.9,771.3,795.3,801.6,758.1,756.6,200.0,791.4
788.8,765.7,786.4,708.2,765.6,786.6,790.4,763.2,763.8,92.7,790.2
837.1,790.4,833.5,683.1,819.6,836.3,837.0,794.1,813.2,386.5,835.5
835.4,793.0,828.6,600.9,811.8,836.1,835.1,786.1,810.6,93.4,833.4
841.1,819.0,830.9,538.2,800.3,840.3,838.1,764.7,799.1,194.5,838.8
839.9,822.9,837.7,564.2,812.4,839.4,840.5,807.9,815.1,200.0,833.0
764.8,725.6,765.1,681.6,754.8,765.5,766.5,721.1,758.3,100.0,763.6
853.7,724.5,847.8,707.4,814.5,852.4,852.5,800.1,812.2,185.3,851.6
874.2,818.9,867.9,828.0,840.0,875.6,873.3,810.6,840.2,185.1,876.9
899.1,870.4,891.0,851.6,867.7,900.1,898.4,862.6,869.7,193.3,899.0
868.9,818.2,865.2,816.6,839.7,869.0,868.5,821.4,840.8,185.3,868.3
805.1,679.9,798.4,771.7,761.5,803.4,803.2,749.5,772.5,0.0,800.4
853.7,823.6,849.3,826.6,816.7,853.2,853.2,809.4,818.5,186.2,847.2
848.0,741.6,845.7,798.5,839.4,846.6,849.5,788.5,821.0,92.7,840.4
848.8,822.5,844.9,816.9,822.5,849.3,848.9,804.6,826.9,186.0,847.6
876.5,849.0,873.4,853.5,855.9,876.8,875.4,853.7,854.7,379.4,876.2
826.5,787.8,819.8,789.2,798.0,824.6,826.7,775.4,799.2,92.9,824.3
871.4,836.3,867.8,838.1,847.1,874.7,870.2,824.5,840.4,284.2,873.0
815.9,776.7,810.0,788.8,785.6,813.6,815.5,759.9,779.3,93.0,818.2
822.9,803.5,821.1,793.2,803.2,821.4,825.9,784.2,799.9,186.0,823.9
829.3,801.5,826.5,805.4,796.1,834.7,825.3,785.5,794.4,98.0,829.3
776.3,751.8,785.5,743.4,755.7,789.2,791.3,738.9,760.7,92.9,792.1
877.3,862.9,878.7,858.4,858.2,879.6,876.5,839.8,857.0,392.2,879.4
847.4,744.2,845.4,815.1,818.5,851.3,851.3,810.7,821.3,291.1,850.6
849.4,807.6,841.4,823.9,813.9,849.1,848.5,798.3,815.9,100.0,848.8
838.5,817.2,840.8,811.1,821.0,843.3,843.9,805.2,821.6,279.4,841.7
843.9,818.2,846.0,811.3,825.0,848.0,844.8,808.4,817.6,186.8,843.8
859.9,837.1,857.4,827.4,835.7,860.3,860.5,826.8,842.6,291.9,859.7
848.1,826.1,845.6,811.3,829.0,846.9,847.2,786.3,830.9,192.4,846.9
846.1,816.2,842.2,808.6,820.2,841.5,841.0,794.3,814.2,186.6,838.4
856.3,839.8,854.2,832.4,831.8,859.6,862.4,820.3,839.9,372.2,858.4
806.5,772.6,800.9,771.5,770.4,809.7,807.9,753.3,771.0,91.7,806.5
914.9,902.4,912.7,907.2,902.9,913.9,915.3,897.5,906.3,573.2,914.6
789.3,770.5,788.3,760.6,770.1,790.7,791.8,749.7,777.3,0.0,787.6
835.9,811.0,833.3,800.6,807.8,832.9,835.7,781.6,810.8,0.0,835.0
840.7,822.8,837.3,816.3,816.1,840.6,839.6,804.2,808.5,292.8,839.3
889.0,781.5,884.1,865.4,856.7,888.6,887.5,840.8,856.4,285.4,887.1
845.1,742.7,842.5,824.6,823.6,845.4,841.1,819.5,822.0,100.0,843.4
826.8,802.7,825.8,802.3,814.4,825.9,827.9,802.0,819.9,277.2,827.2
826.0,807.7,820.9,806.4,809.3,830.1,829.5,764.8,814.0,0.0,825.2
