drqv2_pad_2_pixels-True,drqv2_pad_7_pixels-True,drqv2_pad_4_pixels-True,drqv2_pad_8_pixels-True,drqv2_pad_1_pixels-True,drqv2_pad_6_pixels-True,drqv2_pad_3_pixels-True,drqv2_pixels-True,drqv2_pad_10_pixels-True,drqv2_pad_9_pixels-True,drqv2_pad_5_pixels-True
852.6,855.1,857.3,855.4,814.8,855.6,819.3,814.4,854.9,51.8,853.0
833.2,835.8,836.4,832.6,805.3,834.1,810.3,795.1,835.8,51.1,832.4
827.5,830.1,831.2,830.2,796.2,828.5,797.1,784.7,748.7,50.2,828.8
807.6,810.1,809.4,811.1,802.4,809.1,809.8,796.0,811.2,50.8,806.3
859.2,859.7,863.1,860.9,850.4,855.6,854.9,833.7,859.8,52.8,856.9
862.8,865.2,866.6,863.8,837.8,862.7,844.5,833.6,864.8,52.6,864.0
841.5,849.3,854.0,853.7,828.2,847.7,833.5,821.8,847.6,51.3,847.0
831.2,837.4,839.4,834.2,814.4,838.0,815.6,804.1,836.9,52.7,833.8
862.2,866.9,868.8,866.9,852.7,867.9,856.9,834.8,868.0,55.5,864.6
880.4,882.9,883.3,882.7,857.9,882.8,859.0,848.1,881.9,54.2,881.7
862.9,867.4,866.2,864.8,840.4,867.9,844.9,838.6,865.7,52.5,863.5
793.5,785.1,785.6,782.2,761.8,792.3,773.2,740.8,784.1,48.4,778.2
803.9,802.0,805.3,802.6,778.6,803.0,773.7,767.1,802.0,49.8,799.6
796.5,798.1,799.4,797.2,769.9,799.2,773.0,757.7,797.6,49.4,797.4
852.1,854.5,857.2,855.5,824.5,856.1,827.7,811.9,855.5,52.4,852.5
821.7,826.1,828.3,820.6,806.6,827.2,811.7,801.9,818.2,53.4,823.7
830.4,826.8,825.7,822.4,803.2,825.7,802.8,800.0,828.7,52.6,827.8
877.0,880.9,883.7,881.9,864.0,874.8,865.0,849.4,882.4,54.6,879.1
857.5,860.8,860.4,861.7,842.5,861.1,844.2,829.3,859.5,53.6,856.1
861.3,868.8,867.3,868.9,866.4,869.9,866.4,853.6,865.6,54.3,861.9
814.0,820.5,821.8,817.5,791.7,819.2,788.1,783.4,819.3,50.6,817.0
849.2,855.4,856.5,855.0,832.9,856.1,835.6,819.1,854.8,52.2,851.6
835.3,839.6,842.4,840.6,816.9,836.4,815.9,802.2,841.0,51.7,838.2
856.7,856.3,855.6,857.1,830.7,854.7,833.6,825.3,852.1,51.2,856.2
896.6,894.7,899.1,891.5,876.4,893.7,874.2,861.9,897.2,56.6,897.4
844.8,845.4,845.9,845.7,803.4,846.1,820.0,795.8,842.2,52.1,845.9
886.5,886.9,891.6,891.3,870.6,891.6,870.3,861.0,888.1,53.1,887.4
839.7,837.2,842.9,843.3,820.7,841.4,819.2,787.6,840.6,52.9,840.0
827.2,825.5,831.9,832.8,815.7,833.3,813.8,782.3,832.2,54.6,828.6
811.9,813.5,815.9,811.8,800.5,811.7,799.0,786.7,813.1,51.6,813.4
812.2,813.6,818.6,817.1,796.8,811.6,786.1,779.9,814.9,50.4,806.9
803.7,807.8,809.4,799.6,785.1,800.4,784.4,776.4,799.3,95.7,800.8
858.4,854.7,859.3,856.6,839.6,857.5,839.7,818.1,860.6,93.3,852.8
789.8,791.1,794.8,793.3,760.8,794.6,762.7,756.7,794.3,75.4,793.6
835.1,841.6,842.2,842.0,836.0,842.5,835.0,812.0,834.5,793.6,835.2
801.1,800.7,802.2,804.4,790.1,803.8,789.5,760.3,801.3,549.7,800.8
848.6,851.8,852.6,852.8,826.0,853.9,825.5,800.5,851.3,184.8,849.9
839.1,841.6,843.2,840.9,834.4,847.2,824.3,816.3,841.6,603.1,842.7
849.0,852.3,852.2,853.0,845.5,853.6,843.4,822.6,851.1,659.9,848.1
865.3,865.2,869.4,858.3,854.4,863.3,845.3,830.7,864.3,835.7,862.4
873.7,878.1,879.0,875.8,860.9,879.9,861.2,854.6,876.0,823.5,873.4
829.7,836.3,838.2,833.0,829.7,838.9,827.1,799.2,836.6,740.1,832.2
