drqv2_aug_pixels-True-contrast-14.0,drqv2_aug_pixels-True-contrast-1.2,drqv2_aug_pixels-True-contrast-12.5,drqv2_aug_pixels-True-contrast-3.0,drqv2_aug_pixels-True-contrast-1.4,drqv2_aug_pixels-True-contrast-1.3,drqv2_aug_pixels-True-contrast-9.0,drqv2_aug_pixels-True-contrast-0.8,drqv2_aug_pixels-True-contrast-2.5,drqv2_aug_pixels-True-contrast-0.1,drqv2_aug_pixels-True-contrast-8.5,drqv2_aug_pixels-True-contrast-11.5,drqv2_aug_pixels-True-contrast-0.6,drqv2_aug_pixels-True-contrast-0.7,drqv2_aug_pixels-True-contrast-0.9,drqv2_aug_pixels-True-contrast-13.0,drqv2_aug_pixels-True-contrast-1.6,drqv2_aug_pixels-True-contrast-9.5,drqv2_aug_pixels-True-contrast-10.5,drqv2_aug_pixels-True-contrast-1.1,drqv2_aug_pixels-True-contrast-3.5,drqv2_aug_pixels-True-contrast-1.8,drqv2_aug_pixels-True-contrast-12.0,drqv2_aug_pixels-True-contrast-1.9,drqv2_aug_pixels-True-contrast-1.0,drqv2_aug_pixels-True-contrast-1.7,drqv2_aug_pixels-True-contrast-14.5,drqv2_aug_pixels-True-contrast-15.0,drqv2_aug_pixels-True-contrast-13.5,drqv2_aug_pixels-True-contrast-0.5,drqv2_aug_pixels-True-contrast-0.2,drqv2_aug_pixels-True-contrast-11.0,drqv2_aug_pixels-True-contrast-0.3,drqv2_aug_pixels-True-contrast-2.0
7.7,100.0,16.7,16.9,91.0,277.3,8.6,601.6,18.2,9.1,16.7,7.6,106.7,118.4,100.0,16.7,176.3,16.7,17.1,181.0,17.1,251.4,16.7,31.8,100.0,48.9,16.6,16.7,16.7,154.1,114.8,17.0,4.9,17.1
11.9,168.1,5.5,5.9,0.0,91.4,15.3,728.8,5.9,0.0,5.2,12.9,5.6,102.1,91.3,5.8,67.1,5.7,5.2,0.0,5.2,92.3,5.2,7.5,0.0,21.3,5.6,5.2,5.2,322.4,93.4,5.2,0.0,5.9
18.9,288.4,19.0,19.6,293.5,293.1,20.7,767.2,22.3,14.8,19.5,18.3,114.3,287.7,292.2,19.2,271.8,19.5,19.4,200.0,19.4,149.8,19.5,20.2,293.3,59.8,19.5,19.5,19.5,522.4,207.4,19.5,38.2,19.1
7.2,0.0,12.0,14.7,184.0,184.6,6.9,478.3,13.3,0.0,12.0,5.8,6.3,68.6,92.5,12.0,39.0,12.0,12.0,0.0,12.0,0.0,12.0,14.5,0.0,45.3,12.0,12.0,12.0,414.4,186.2,12.0,23.0,13.1
0.0,0.0,5.4,5.9,63.7,92.2,0.0,751.6,6.2,0.0,5.6,0.0,0.0,188.7,0.0,5.6,83.6,5.6,5.6,92.0,5.6,84.3,5.6,6.3,0.0,20.0,5.6,5.6,5.6,388.3,94.1,5.6,13.4,5.7
12.4,181.7,11.6,12.0,84.8,93.2,11.9,772.6,11.6,0.0,11.0,12.1,12.4,246.8,93.7,11.1,123.1,11.0,11.0,383.4,10.7,4.4,11.0,12.0,174.9,21.9,11.1,11.0,11.3,243.9,87.3,11.0,186.1,11.4
7.5,98.4,11.3,11.5,110.5,85.4,7.7,762.7,12.1,2.2,10.9,7.6,179.3,697.9,98.1,10.9,183.4,10.9,10.9,180.4,10.9,47.8,10.9,13.0,185.4,41.3,11.0,10.9,10.9,706.7,101.6,10.9,21.2,11.1
5.9,0.0,10.9,11.6,62.2,185.4,6.7,766.2,11.7,0.0,11.5,5.6,94.1,550.0,0.0,11.4,183.2,11.5,11.5,91.6,11.5,123.5,11.5,12.0,232.4,41.0,11.5,11.5,11.5,766.3,187.8,11.5,23.0,11.5
19.9,3.2,5.6,5.7,92.2,91.6,19.8,744.4,6.0,2.7,5.6,19.5,209.0,450.0,100.0,5.6,47.5,5.6,5.6,91.0,5.6,31.6,5.6,5.8,266.8,19.5,5.6,5.6,5.6,483.3,12.0,5.6,11.1,5.2
17.6,0.6,7.4,7.5,36.3,100.0,16.8,793.9,7.8,5.1,7.3,16.7,207.4,627.0,91.0,7.3,100.0,7.3,7.3,100.0,7.3,32.9,7.3,7.4,332.6,21.7,7.3,7.3,7.3,685.6,100.0,7.3,12.1,7.0
11.6,91.3,6.1,6.1,93.5,92.4,11.9,800.4,6.0,0.0,6.1,11.8,200.5,657.6,93.0,6.1,92.6,6.1,6.1,0.0,6.1,52.1,6.1,6.3,298.7,18.1,6.1,6.1,6.1,500.7,93.4,6.1,14.2,6.0
12.3,180.9,30.1,31.4,208.8,191.8,12.4,836.7,31.5,6.8,30.0,12.9,18.9,605.4,234.0,30.0,292.8,30.0,30.0,372.9,30.0,136.1,30.0,32.2,474.3,70.6,30.0,30.0,30.0,231.9,284.2,30.0,83.9,29.9
0.0,0.0,11.3,11.5,186.0,93.1,0.0,755.0,11.8,0.0,11.2,0.0,98.5,623.5,0.0,11.2,185.7,11.2,11.2,0.0,11.2,47.0,11.2,12.0,228.4,38.7,11.2,11.2,11.2,668.1,187.2,11.2,38.3,11.7
12.4,184.3,18.9,13.0,281.1,192.5,12.5,831.4,19.0,5.6,18.9,12.4,154.1,818.6,100.0,18.9,94.8,18.9,18.9,100.0,18.9,62.0,18.9,19.7,494.5,38.6,18.9,18.9,18.9,562.0,282.2,18.9,282.4,19.1
5.5,91.4,12.2,13.0,35.8,92.9,5.4,775.4,12.9,0.0,12.2,5.1,6.3,670.5,0.0,12.2,185.8,12.2,12.2,198.2,12.2,28.5,12.2,12.6,392.3,0.0,12.2,12.2,12.2,586.5,0.0,12.2,93.5,12.2
6.5,100.0,17.5,18.1,126.9,284.9,6.5,801.5,17.9,1.4,17.6,6.5,17.0,701.7,105.1,17.6,90.1,17.6,17.6,282.7,17.6,96.5,17.6,17.5,367.9,39.7,17.6,17.6,17.6,576.7,286.9,17.6,56.1,17.9
11.4,147.5,5.6,6.0,30.7,0.0,11.7,830.6,5.7,0.0,5.6,11.2,217.1,764.7,86.2,5.6,80.3,5.6,5.6,92.3,5.6,29.0,5.6,5.9,590.9,14.8,5.6,5.6,5.6,359.4,93.5,5.6,94.1,5.5
12.8,191.2,13.7,14.7,39.4,82.0,12.3,780.4,13.8,5.1,13.7,12.7,319.7,728.1,191.7,13.7,91.1,13.7,13.7,199.6,13.7,75.1,13.7,14.0,281.6,33.1,13.7,13.7,13.7,536.0,199.6,13.7,199.6,13.8
12.2,193.7,12.5,12.6,34.9,192.6,12.2,842.9,12.7,1.2,12.5,12.2,63.0,838.2,304.3,12.5,71.8,12.5,12.5,191.9,12.5,77.5,12.5,12.2,667.9,34.4,12.5,12.5,12.5,710.9,193.8,12.5,110.7,12.2
0.0,0.0,5.4,5.6,55.2,93.0,0.0,783.8,5.8,0.0,5.4,0.0,631.2,744.4,281.9,5.4,92.5,5.4,5.4,92.7,5.4,28.9,5.4,6.0,327.6,16.2,5.4,5.4,5.4,514.6,93.6,5.4,15.1,5.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.8,0.0,0.0,0.0,0.0,218.8,738.4,170.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.7,0.0,0.0,0.0,0.0,682.2,0.0,0.0,0.0,0.0
11.0,185.4,6.3,6.3,28.0,92.8,11.6,819.0,6.2,0.0,6.3,11.1,465.0,813.8,266.4,6.3,0.0,6.3,6.3,0.0,6.3,0.0,6.3,6.5,584.6,18.2,6.3,6.3,6.3,437.4,92.8,6.3,9.7,6.8
29.3,388.5,13.6,13.7,185.3,91.5,29.2,879.7,13.6,6.2,13.6,29.5,794.8,869.2,404.8,13.6,191.3,13.6,13.6,168.4,13.6,83.6,13.6,13.8,817.1,33.5,13.6,13.6,13.6,793.3,200.0,13.6,200.0,13.4
5.6,92.8,16.3,17.2,89.3,258.7,5.8,826.1,16.8,0.0,16.3,5.8,690.9,822.9,563.6,16.3,278.7,16.3,16.3,91.5,16.3,70.7,16.3,17.0,741.5,49.2,16.3,16.3,16.3,678.2,281.7,16.3,281.7,17.1
18.5,285.5,6.0,5.9,115.1,43.2,18.7,770.0,6.5,2.1,6.0,18.7,660.1,779.6,401.4,6.0,92.1,6.0,6.0,90.2,6.0,37.1,6.0,6.0,642.9,17.6,6.0,6.0,6.0,526.6,100.0,6.0,100.0,6.0
27.3,455.3,7.1,7.4,32.4,52.1,28.4,819.3,7.2,0.0,7.1,27.1,782.9,803.1,586.6,7.1,96.4,7.1,7.1,96.5,7.1,32.3,7.1,7.0,742.6,19.6,7.1,7.1,7.1,683.5,96.4,7.1,12.3,7.4
30.7,377.7,17.9,11.6,116.2,182.4,30.8,903.6,18.5,2.3,17.9,30.9,852.9,895.1,876.4,17.9,184.9,17.9,17.9,268.2,17.9,51.4,17.9,18.4,859.7,32.8,17.9,17.9,17.9,222.4,92.4,17.9,277.9,11.9
5.9,93.1,22.4,22.5,334.0,266.2,5.9,825.7,22.0,0.0,22.4,5.9,784.2,814.6,641.5,22.4,126.5,22.4,22.4,374.8,22.4,118.3,22.4,23.5,801.4,53.8,22.4,22.4,22.4,478.5,273.2,22.4,372.6,23.1
6.1,0.0,5.4,5.5,25.4,92.3,6.1,745.0,5.5,0.0,5.4,6.1,621.7,761.7,494.6,5.4,34.1,5.4,5.4,92.1,5.4,14.5,5.4,5.7,745.6,19.9,5.4,5.4,5.4,260.7,91.4,5.4,93.2,5.2
21.9,325.6,13.4,13.2,71.0,192.3,21.9,811.3,13.3,3.1,13.4,21.9,764.0,805.8,545.8,13.4,60.9,13.4,13.4,189.1,13.4,62.5,13.4,13.6,779.5,38.6,13.4,13.4,13.4,549.3,94.1,13.4,192.2,13.1
33.4,493.7,5.5,5.7,23.0,91.5,33.6,892.5,6.0,0.0,5.5,33.6,855.7,892.3,864.2,5.5,36.3,5.5,5.5,92.4,5.5,37.1,5.5,5.6,857.5,18.8,5.5,5.5,5.5,866.7,92.0,5.5,93.7,5.3
5.6,92.6,16.8,16.9,169.6,92.7,5.6,825.0,17.1,0.0,16.8,5.6,797.8,820.1,717.7,16.8,143.0,16.8,16.8,300.5,16.8,95.0,16.8,18.1,806.2,57.2,16.8,16.8,16.8,683.5,8.6,16.8,280.4,16.7
0.0,0.0,5.5,5.8,93.5,0.0,0.0,782.7,6.0,0.0,5.5,0.0,711.5,771.5,721.3,5.5,40.6,5.5,5.5,92.8,5.5,33.8,5.5,5.7,768.0,18.9,5.5,5.5,5.5,637.2,92.8,5.5,88.9,6.1
0.0,0.0,10.5,11.5,71.0,170.3,0.0,809.6,11.3,0.0,10.5,0.0,752.4,799.9,780.6,10.5,94.0,10.5,10.5,301.2,10.5,68.3,10.5,11.4,791.1,35.5,10.5,10.5,10.5,578.7,141.5,10.5,187.1,11.2
